user_input,system_prompt_id
"""I'm planning a trip to Japan for cherry blossom season next year and I've heard it's a very busy time. Can you help me understand the phrase ' hanami' and its significance in Japanese culture?""",1
"""I'm planning a business trip to Tokyo next week and I want to make sure I know how to properly remove my shoes before entering some traditional restaurants. Can you help me understand the etiquette around this?""",1
"""I'm planning a business trip to Japan and I want to make sure I don't offend anyone during meetings. Can you translate 'it's all good' into Japanese? (I've heard it has different connotations in some cultures.)""",1
"""I'm planning a trip to Japan and I want to visit the famous Fushimi Inari shrine. Can you explain what it's like to hike up the thousand torii gates? (I've heard it's quite an experience!)""",1
"""Hello! I'm trying to learn Japanese and came across a phrase in a book: 'Honne' and 'Tatemae'. Can you explain what it means and how it's used in everyday conversation?""",1
"""Hello! I'm trying to translate an article from French about the nuances of 'faire son beurre' in the context of professional development. Can you help me convey the idiom's meaning accurately?""",1
"""I'm planning a trip to Japan and I'd like to know if there's any truth behind the phrase 'honne' and 'tatemae'. Can you explain the concept of saving face in Japanese culture? I want to be respectful when interacting with locals.""",1
"""I'm writing an article about the Japanese concept of 'ikigai' and I'd like you to translate a passage from a famous essay by Koichi Kawabata on the topic.""",1
"""I'm planning a business trip to Tokyo next month and need to understand what 'honne' and 'tatemae' mean in Japanese culture, as I want to navigate professional relationships effectively.""",1
"""I'm planning a business trip to Tokyo and I want to know what's considered polite table manners in Japan when dining with clients for the first time. Can you provide some tips on how to avoid any cultural faux pas?""",1
"""Can you translate 'It's raining cats and dogs outside' from English to Spanish? I want to use it in an informal email to my friend.""",1
"""I'm planning a trip to Japan and I'd like to learn some basic phrases for navigating train stations. Can you help me translate 'doko ni arimasu ka' into English and explain its usage in context?""",1
"""I'm planning a trip to Tokyo next month and I want to ask about traditional Japanese customs when visiting temples. Can you explain what's considered polite behavior in these settings?""",1
"""I'm having trouble understanding my Japanese grandmother's letter, where she mentions 'falling into the pot' - can you translate it for me and explain what it means? She also refers to her new neighbor as a 'night owl', which I assume is an old-fashioned term.""",1
"""I'm planning a business trip to Tokyo and I need to write an email to my client's office in Japan. Can you translate 'I'd like to schedule a meeting on Wednesday' into formal Japanese? Also, can you tell me what time zone they are in?""",1
"""I'm planning a business trip to Tokyo and I want to learn how to politely decline a meal invitation from a colleague. Can you help me come up with some phrases? For example, in English we would say 'no thanks', but I know that's not exactly the same as in Japanese.""",1
"""I'm planning a trip to Japan and I've heard that it's customary to give gifts when visiting homes or businesses in rural areas. What are some traditional gift options that would be appreciated?""",1
"""Hi, I'm planning a trip to Japan and would like to know what 'honne' and 'tatemae' mean in context of Japanese culture. Can you also explain how these concepts are related?""",1
"""Can you translate this Japanese phrase from my grandfather's letter: 'Koko ni aru koto ga wakaranai'? I think it means he's feeling overwhelmed, but I'm not sure if there's more to it.""",1
"""Can you translate this Japanese proverb into English: 'Fall down seven times, stand up eight.' Also, what does it mean in a cultural context?""",1
"I'm translating an old document for my Japanese colleague and I need help with some phrases - "" Ganbatte kudasai"" from the 18th century is written in it, what does it roughly translate to? (Also, should I use a formal or informal tone when conveying this translation?)",1
"""I'm planning a trip to Japan and want to know if it's customary to remove one's shoes before entering temples or traditional homes. Can you also explain the difference between 'washlet' toilets and regular public restrooms?""",1
"""I'm planning a trip to Japan and want to know if 'tabi' refers to a type of shoe or a specific style of dress. Also, how does one say 'breakfast in bed' politely?""",1
"""I'm planning a trip to Japan and want to learn some basic phrases in Japanese. Can you translate 'It's been raining cats and dogs' into Japanese?""",1
"""I'm planning a trip to Japan and want to make sure I understand the concept of 'honne' versus 'tatemae', can you explain it in simple terms?""",1
"""I'm planning a trip to Tokyo and I want to know if it's safe for solo female travelers. Can you help me understand what 'gaijin' means in Japanese and how locals might react to a tourist like myself?""",1
"I've been reading about the Japanese concept of ""ikigai"" and how it's supposed to be the reason people wake up in the morning. Can you help me understand what ikigai means and how it relates to personal fulfillment?",1
"""I'm planning a business trip to Tokyo next month and I'd like to know how to politely decline an invitation to dinner from a new client. The phrase 'giri' comes up in my research - can you explain its cultural significance?""",1
"""Hello, I'm planning a trip to Japan and want to learn some basic phrases in Japanese. Can you translate 'break a leg' into Japanese for my friend who's performing in a play there?""",1
"""I'm planning a trip to Japan and I want to learn some basic phrases for when I arrive at the airport. Can you translate 'O genki desu ka' into English?""",1
"""I'm planning a trip to Japan and want to learn some basic phrases in Japanese. Can you translate 'I'd love to try some delicious food' into Japanese for me? Also, what does the phrase 'omotenashi' mean?""",1
"""I'm planning a trip to Japan and want to know if it's customary to remove your shoes before entering temples or shrines. Are there any specific rules I should be aware of?""",1
"""I'm planning a trip to Tokyo and I'd like to know how to say 'I love trying new foods' in Japanese. Can you also suggest some popular local dishes that I should try?""",1
"""Hello, I need help translating an invitation from Japanese to English for my friend's wedding. The text says: 'We would like to cordially invite you to participate in our celebration of new beginnings.' However, the original sentence uses a local idiom that roughly translates to 'we're tying the knot' - can you please help me translate it accurately?""",1
"""Can you translate 'Konnichiwa, watashi wa gakusei desu' from Japanese into English? I want to write a polite greeting in my essay about Japan's education system.""",1
"""I'm trying to understand the phrase 'killing two birds with one stone' from a business meeting in Japan. Can you explain what it means and provide an example sentence? In context, they mentioned using a new software tool would achieve multiple goals at once.""",1
"""I'm planning a business trip to Tokyo next month and I want to make sure I can navigate the city's public transportation system smoothly. Can you translate the phrase ' tsūraku shite kudasai' which I found in a travel guide?""",1
"""I'm planning a trip to Japan and I want to learn some basic phrases to communicate with locals. Can you translate 'konnichiwa wa' into English? Additionally, what does it mean to say 'tabehodai o genki ni shite kudasai' when ordering food at a restaurant?""",1
"""I'm planning a trip to Japan and want to know if the phrase 'yokatta' is something I should use when thanking a shopkeeper for help. In informal situations, would it be acceptable to use 'arigatou gozaimasu'? Can you provide some context on how locals might respond?""",1
"""I'm planning a trip to Japan for cherry blossom season and was wondering if I can book a ryokan room in advance or should I wait until I arrive?""",1
"""I'm trying to understand the nuances of Confucianism as it relates to family dynamics in traditional Chinese culture. Can you translate and explain the phrase 'xiao' in the context of filial piety?""",1
"I've been feeling burnt out lately and I'm thinking of taking a sabbatical from work for a few months to recharge. However, I'm not sure if my company will approve it because we're in the middle of peak season (I'm guessing that's ""high demand"" time?). Can you help me draft an email requesting a leave?",1
"""I'm planning a trip to Japan and want to know how to say 'I'll be late' in Japanese. Can you also provide an explanation of what it implies?""",1
"""Can you translate 'Konnichiwa, watashi wa gakusei desu' into English? This is for an email to a Japanese university professor.""",1
"""Hello, I'm planning a trip to Japan next month and was wondering if you could help me understand the phrase 'tsundere' from an anime I've been watching. It seems like a common term but I'm not familiar with its cultural context.""",1
"""Can you translate 'Konnichiwa, watashi wa gakkō ni iku node, itsumo kirei desu' from Japanese into English? I need it for a school project.""",1
"""I'm planning a business trip to Tokyo and I want to impress my Japanese clients with some basic etiquette knowledge, but I don't know where to start. Can you translate 'break a leg' into something they'll understand? Also, what's the correct way to bow in Japan?""",1
"""Can you translate this phrase from Japanese into English: 'Karada ni naru' for an official company report? I want to ensure it's accurately conveyed in a professional setting.""",1
"""I'm planning a business trip to Japan and I need to know what's considered polite behavior at a traditional tea ceremony. What are some key etiquette rules I should follow?""",1
"""I'm planning a trip to Tokyo and I came across a restaurant review that said 'tonkatsu was so good, it hit the spot.' Can you translate what 'hit the spot' means in English?""",1
"""Hi, I'm planning a trip to Japan and I came across an article that said 'Fall in love with the changing colors of autumn' - what's the equivalent phrase in Japanese? Also, can you explain why the author used this specific phrase instead of just saying 'appreciate' or 'enjoy'?",1
"""I'm planning a trip to Japan and want to understand what 'honne' and 'tatemae' mean in Japanese culture. Can you explain these concepts to me? I've heard they're important for navigating social relationships.""",1
"""Can you translate 'Je me souviens d'avoir vu cette maison il y a vingt ans' from French to English? I'm trying to understand what my grandmother meant when she said it, but I don't speak French fluently.""",1
"""I'm planning a trip to Japan for the cherry blossom season and was wondering if I can still experience the 'mono no aware' feeling even though it's not peak blooming time.""",1
"""I'm planning a business trip to Japan and need help understanding the local customs around gift-giving. In our company culture, we're used to bringing a bottle of wine as a gesture of goodwill, but I've heard that's not appreciated in Japanese culture. Can you tell me what kind of gifts are typically exchanged when doing business in Japan?""",1
"""I'm having trouble understanding a French article about the upcoming elections. Can you translate: 'La nouvelle loi sera votée demain sans que les députés ne connaissent bien son contenu.' What's the nuance of using 'sans que' here?""",1
"""I'm planning a trip to Japan and I want to learn some basic phrases in Japanese. Can you help me translate 'breakfast is on me' into Japanese?""",1
"""I'm planning a business trip to Japan and I'd like to learn how to politely decline an offer for a group dinner invitation from my client. They mentioned something about 'honne' vs. 'tatemae', can you help me understand the difference?""",1
"""I'm planning a trip to Tokyo and I want to know if there's a phrase for 'lost in translation' when speaking Japanese, as it seems like every time I try to communicate something is getting lost in conversation.""",1
"""I'm trying to order takeout from a restaurant in Tokyo and their website has a list of menu items with Japanese names. Can you translate 'Tonkatsu no Fuku Fuku' for me?",1
"""I'm planning a business trip to Tokyo next month and I want to make sure I understand the local customs. Can you translate this phrase from Japanese: 'Muzukashii desu'?""",1
"""I'm planning a trip to Tokyo next month and I'd like to learn some basic phrases in Japanese. Can you translate 'I'm excited for my upcoming vacation' into Japanese?""",1
"""I'm planning a trip to Japan and want to learn some basic phrases to use when visiting temples. Can you translate 'Konnichiwa wa gozaimasu' and explain its tone?""",1
"""I'm planning a trip to Japan and I want to greet my host family politely when we arrive at their home. What's the difference between 'konnichiwa' and 'ohayou gozaimasu'? Can you also explain the cultural significance of each phrase?""",1
"""I've been experiencing intense chest pain on my left side for the past 2 days, along with difficulty breathing and a persistent cough that's brought up yellow mucus. The pain gets worse when I exert myself or lay down.""",2
"""I've been experiencing severe headaches on both sides of my head for 2 days, accompanied by dizziness and blurred vision whenever I stand up quickly.""",2
"""I've been experiencing severe headaches for the past 24 hours, accompanied by blurred vision and sensitivity to light. I also have a fever of around 102°F.""",2
"""I've been experiencing severe abdominal pain for 2 days, especially after eating, and I also have a fever of around 102°F. The pain is crampy and feels like it's moving around my abdomen.""",2
"""I've been experiencing severe headaches for the past 24 hours, which are accompanied by fever, chills, and sensitivity to light. I also have a sore throat and difficulty swallowing. I'm concerned it might be more than just a cold.""",2
"""I've been experiencing severe abdominal pain in my lower right side for 2 days, along with nausea and vomiting. I also noticed some blood in my stool this morning.""",2
"I've been experiencing severe headaches for the past week, accompanied by blurred vision and dizziness when I get up from sitting or standing quickly. The pain is usually located in the back of my head.",2
"I've been experiencing severe headaches for 2 days now, and I'm also having trouble speaking clearly due to a persistent sore throat. The headaches are on both sides of my head and feel like they're throbbing from the inside out.",2
I've been experiencing severe chest pain and shortness of breath after exercising for the past few days. I also have a persistent cough and feel like I'm getting worse with each passing day.,2
"""I've been experiencing severe chest pain that radiates to my left arm and back for the past 24 hours, along with difficulty breathing when I exert myself or lie down. The pain is sharp and stabbing at times, but it's also getting worse over time.""",2
"""I've been experiencing severe chest pain on my left side when I inhale deeply or cough, and it's been ongoing for 3 days. The pain feels like a sharp stabbing sensation. I'm also having trouble sleeping due to anxiety.""",2
"I've been experiencing fever, chills, and a persistent cough for 5 days, and I've also had some pain in my chest when breathing deeply. The cough seems to be getting worse over time.",2
"""I've been experiencing severe chest pain for 2 days, it's sharp and stabbing, especially when I breathe in deeply or cough. It started after a big meal last night.""",2
"I've been experiencing severe headaches for the past week, usually in the morning after waking up, and they're accompanied by sensitivity to light and occasional dizziness when standing up quickly. The pain is usually on both sides of my head but sometimes it's more focused on one side.",2
"""I've been experiencing severe chest pain on the left side that radiates to my arm and back when I exert myself or cough. It's been happening for a few days now, but I'm worried it might be related to an incident where I fell down the stairs last week.""",2
"""I've been experiencing persistent chest pain and shortness of breath for the past 24 hours after going for a hike in high altitude. The pain is located on my left side and feels like a sharp stabbing sensation.""",2
"""I've been experiencing persistent chest pain on my left side for 2 days, especially after eating or exerting myself, and I also have trouble breathing when I lie down.""",2
"""I've been experiencing severe chest pain that radiates to my left arm and back for the past hour after eating a large meal. The pain is sharp and feels like it's getting worse by the minute.""",2
"""I've been experiencing severe chest pain on my left side when I breathe in deeply, along with shortness of breath and a persistent cough for the past week. The pain is sharp and stabbing, but not constant. It's getting worse over time.""",2
"""I've been experiencing severe headaches for the past week, accompanied by blurred vision and dizziness after waking up in the morning. The pain is always on one side of my head and gets worse throughout the day. I'm also feeling extremely fatigued.""",2
"I've been experiencing severe chest pain and shortness of breath for the past hour, and I've also had a fever over 102°F for two days. My heart rate is really high too, and I'm feeling quite anxious about it all.",2
"""I've been experiencing sharp chest pain on my left side while lying down, which gets worse when I breathe in deeply, and I've also had some trouble swallowing food over the past week.""",2
"""I've been experiencing severe abdominal pain for the past 24 hours, accompanied by nausea and vomiting. The pain is located in my lower right quadrant and seems to radiate to my back.""",2
"""I've been experiencing sharp chest pain on my left side whenever I take deep breaths or cough, and it's accompanied by a persistent fever of 102°F for the past two days.""",2
"I've been experiencing severe headaches for 2 days now, they're constant and radiate from the back of my neck to my forehead, and I also have a fever of around 102°F. I'm feeling extremely fatigued and nauseous too.",2
"""I've had severe headaches for 2 days, accompanied by dizziness and blurred vision. I'm also experiencing intense pain on one side of my head, which seems to be migrating to different areas over time.""",2
"""I've been experiencing severe headaches on both sides of my head for the past 3 days, accompanied by blurred vision and dizziness when I stand up from sitting or lying down. The pain is constant and doesn't seem to be triggered by anything specific.""",2
"""I've had a fever of 102°F for 2 days and it's been accompanied by severe headaches, dizziness, and a sharp pain on my right side near my ribcage. I'm also experiencing fatigue and nausea.""",2
"I've been experiencing sharp chest pains and difficulty breathing for the past few hours, even when I'm just sitting still. The pain is mostly on my left side and feels like a knife twisting in my ribs. I also have a low-grade fever of around 99°F.",2
"I've been experiencing severe headaches for the past 3 days, along with a fever of around 102 degrees and some light sensitivity to light. The pain is mostly at the back of my head and I'm feeling quite dizzy when I get up from lying down.",2
I've been experiencing severe chest pain and shortness of breath for the past 24 hours. I also have a fever over 102 degrees Fahrenheit. The pain is worse when I breathe in deeply or cough.,2
"""I've been experiencing severe chest pain and shortness of breath for the past few hours after playing basketball last night. The pain is radiating to my left arm and I'm feeling lightheaded.""",2
"""I've been experiencing severe headaches for the past week, accompanied by fever and stiff neck. I've also noticed some sensitivity to light and difficulty concentrating.""",2
"""I've been experiencing severe chest pain and shortness of breath after hiking yesterday. The pain is mainly in my left side, but I also have a mild cough.""",2
"I've been experiencing severe headaches on both sides of my head for the past week, accompanied by blurred vision and sensitivity to light. The pain is constant and doesn't seem to be related to anything I'm doing or eating.",2
"""I've been experiencing severe chest pain and shortness of breath for the past 24 hours. The pain is worsens when I breathe deeply or cough, and it's been accompanied by a fever over 102°F.""",2
"I've been experiencing severe chest pain on my left side that comes and goes throughout the day, accompanied by shortness of breath when I exert myself slightly. I'm also having some trouble sleeping at night due to discomfort in my chest area.",2
"""I've been experiencing severe chest pain on my left side for the past 2 days, especially when I inhale deeply or cough. The pain is a sharp stabbing sensation and feels like it's radiating towards my arm.""",2
"""I've been experiencing severe headaches for the past 48 hours, accompanied by blurred vision and sensitivity to light. I also have a fever of around 102°F and my throat feels like it's on fire.""",2
"""I've been experiencing severe headaches and nausea for the past 24 hours. They're accompanied by dizziness when I stand up from sitting or lying down.""",2
"""I've been experiencing severe chest pain for the past 24 hours, which is worse when I breathe deeply or cough. The pain is in my left side and has been radiating to my arm. It's also accompanied by a mild fever of around 101 degrees Fahrenheit.""",2
"""I've had a fever of 102 degrees for the past two days and have been experiencing sharp pains in my chest whenever I breathe deeply or cough.""",2
"""I've been experiencing sharp chest pains that radiate to my left arm for the past hour, and I feel really short of breath when I exert myself or lie down.""",2
"""I've been experiencing severe headaches on both sides of my head for the past 2 days, accompanied by blurred vision and sensitivity to light. The pain is constant but seems to worsen when I bend down or stand up quickly.""",2
"""I've been experiencing severe chest pain and difficulty breathing for the past hour. The pain feels like it's radiating from my left shoulder and has gotten worse when I cough or laugh.""",2
"I've been experiencing severe stomach cramps and nausea for the past 24 hours, along with a low-grade fever of around 101°F. I'm worried it might be food poisoning from something I ate yesterday.",2
"""I've had a fever of 102°F for 2 days and my throat is extremely sore, making it hard to swallow or talk. I also have a cough and feel really tired and achy all over.""",2
"""I've been experiencing severe chest pain on my left side for about an hour, and it's getting worse when I breathe in deeply. The pain also radiates to my arm and back.""",2
"""I've been experiencing severe chest pain and shortness of breath while walking up stairs for the past week. The pain is usually on the left side of my chest, but sometimes it shifts to the middle. I'm worried that it might be related to a heart condition.""",2
"""I've been experiencing a persistent cough for 2 weeks, along with fever, and occasionally I have difficulty breathing when walking up stairs or climbing hills. My throat feels scratchy and sore most of the time.""",2
"I've been experiencing severe chest pain and difficulty breathing for the past hour, especially after eating dinner last night. The pain is sharp and stabbing, and I feel like I'm going to pass out when I try to stand up.",2
"""I've been experiencing severe abdominal pain for the past 24 hours, accompanied by fever and chills. I also noticed some dark urine yesterday.""",2
"I've been experiencing severe headaches on both sides of my head for 2 days now, and they seem to be getting worse when I change positions or cough. The pain is also accompanied by a mild fever and fatigue.",2
"I've been experiencing severe chest pain and shortness of breath while walking up stairs for the past 24 hours, it's also worse at night when I'm lying down. The pain is on my left side and feels like a squeezing or pressing sensation.",2
"""I've had a persistent cough for 2 weeks, and it's getting worse; I'm also experiencing shortness of breath when I walk up stairs or even from lying down to standing.""",2
"""I've been experiencing persistent fatigue for the past few weeks, and I've also noticed some pain in my chest when I breathe deeply or exert myself. Sometimes I get these sharp pains on the right side of my chest that last for a few seconds.""",2
"I've been experiencing severe headaches and dizziness for the past 24 hours, accompanied by occasional numbness in my left hand. The pain is mostly on the right side of my head and feels like a dull pressure that won't subside. I'm getting worried it might be a migraine or something worse?",2
"""I've been experiencing severe headaches for the past week, they're mostly on one side of my head and feel like they're getting worse every day. I also have a low-grade fever and my neck is really sore when I try to turn it.""",2
"I've been experiencing severe headaches for 2 days, accompanied by blurred vision and sensitivity to light. The pain is mostly on one side of my head and feels like a dull ache. I also had a fever last night that broke this morning.",2
"""I've been experiencing severe chest pain and shortness of breath after running for a few minutes. The pain feels sharp and is located in my left arm as well as my chest.""",2
"I've been experiencing persistent chest pain on my left side that radiates to my arm, and it's getting worse over the past 24 hours. I also had a high fever last night that broke today, but I'm still feeling quite fatigued.",2
"""I've been experiencing severe headaches and fever for the past 2 days, along with some blurred vision. The pain is mostly on one side of my head and feels like it's radiating towards my eye.""",2
"I've been experiencing severe chest pain and shortness of breath for the past hour, especially after physical activity. The pain is described as sharp and stabbing in my left arm. I'm also feeling a bit lightheaded.",2
"""I've been experiencing severe headaches on both sides of my head for the past week, along with sensitivity to light and blurred vision. I'm also having trouble sleeping and feeling really tired all the time.""",2
"""I've been experiencing severe headaches for the past 24 hours, accompanied by dizziness and sensitivity to light. The pain is on both sides of my head and feels like a tight band around it.""",2
"""I've been experiencing severe chest pain and difficulty breathing for the past hour after exercising yesterday. The pain is sharp and stabbing in my left arm as well.""",2
"""I've had a fever for 2 days, sore throat, and headaches for the past week. I'm also experiencing fatigue and body aches. I'm worried it might be mono or strep throat.""",2
"""I've been experiencing severe chest pain on the left side when I cough or laugh for the past week. The pain is sharp and stabbing, but goes away quickly after I stop laughing or coughing.""",2
"I've been experiencing severe chest pain and shortness of breath for the past 24 hours, even when I'm sitting still or not exerting myself. The pain feels like a tight band around my chest and gets worse when I inhale deeply.",2
I've been experiencing severe abdominal pain on my right side for the past 24 hours. The pain comes and goes but is usually worse after eating a meal or when I'm sitting down.,2
"I've been experiencing persistent pain in my lower back for about 2 weeks, especially after waking up or bending over. The pain is a dull ache and doesn't seem to be related to any specific activity. I'm also having trouble sleeping due to the discomfort.",2
"I've been experiencing severe chest pain and shortness of breath for the past hour, and I'm also having trouble swallowing solid foods. The pain is worse when I cough or take a deep breath.",2
"""I've been experiencing severe headaches and fever for the past 24 hours, but what really concerns me is the numbness and tingling in my left arm - I woke up yesterday morning and couldn't move it properly.""",2
"I've been experiencing severe headaches for the past 48 hours, accompanied by blurred vision and sensitivity to light. The pain is mostly in the front of my head and feels like a tight band around it. I also have a fever of around 102°F that's lingering on despite taking acetaminophen.",2
"I've been experiencing severe chest pain that feels like a tight band is squeezing my heart for the past hour, along with difficulty breathing and a rapid heartbeat. The pain gets worse when I move or take deep breaths.",2
"I've been experiencing severe chest pain and shortness of breath for the past 24 hours, especially after exercising or bending over. The pain feels like a tight band around my chest and gets worse when I breathe in deeply.",2
"""I've been experiencing severe headaches for the past 2 days, along with dizziness and nausea after waking up in the morning. I also noticed a small patch of numbness on my right foot.""",2
"""I've been experiencing severe headaches and dizziness for the past 24 hours. The pain is mostly in my left temple and it's accompanied by a ringing sensation in my ears.""",2
"""I've been experiencing severe chest pain on my left side for the past 24 hours, which gets worse when I cough or take deep breaths. The pain is sharp and stabbing, and I'm also feeling a bit short of breath.""",2
"""I've been experiencing severe headaches for 2 days, accompanied by sensitivity to light and nausea. The pain is mostly on one side of my head and feels like it's getting worse throughout the day.""",2
"""I've been experiencing severe chest pain and shortness of breath after exercising for the past few days. The pain is worse when I'm on my left side and it feels like a tight band around my chest.""",2
"""I've been experiencing sharp chest pains on my left side whenever I breathe in deeply or exert myself physically. The pain is usually accompanied by a mild cough and some difficulty swallowing.""",2
"I've been experiencing sharp chest pain and difficulty breathing whenever I exert myself, such as walking up stairs or lifting heavy objects, for the past week. The pain is usually on my left side and gets worse when I take deep breaths. Should I be worried?",2
"""I've been experiencing sharp chest pain for the past 24 hours, especially when I breathe in deeply or cough, and I've also had some feverish chills on and off throughout the day.""",2
"""I've been experiencing severe chest pain for the past 24 hours, which worsens when I breathe in deeply or cough. The pain feels like a heavy pressure on my chest and radiates to my left arm. I'm also feeling extremely short of breath and lightheaded.""",2
"I've been experiencing severe chest pain and shortness of breath when I exert myself, such as walking up stairs or carrying groceries. The pain is a sharp stabbing sensation in my left shoulder and feels like it's radiating down to my arm.",2
"""I've been experiencing severe headaches and dizziness for the past 24 hours, especially after waking up in the morning. The pain is usually on one side of my head and sometimes accompanied by nausea.""",2
"I've been experiencing severe headaches for 2 weeks now, and they're getting worse over time. I've also had some difficulty speaking clearly due to a feeling of numbness in my mouth and tongue. Sometimes, I get really dizzy when standing up from lying down.",2
"""I've been experiencing severe headaches for the past 3 days, accompanied by blurred vision and sensitivity to light. I also had a fever over the weekend that resolved on its own. The headache is currently located at the base of my neck.""",2
"""I've been experiencing severe headaches on both sides of my head for the past 2 days, and they're getting worse, especially when I wake up in the morning. The pain is also accompanied by a feeling of dizziness and a slight fever.""",2
"""I've been experiencing severe headaches for the past three days, and they're getting progressively worse. I also feel really dizzy when I stand up from a sitting position and my vision is blurry at times.""",2
"I've been experiencing severe chest pain and difficulty breathing for the past hour, especially when I'm lying down or exerting myself. The pain is sharp and stabbing, and it's getting worse by the minute.",2
